OPERATING_DATE,HOUR_ENDING,PRICE_ELECTRIC,PRICE_GAS,CONFIGURATION_ACTIVE,MW_GENERATION,FUEL_COST,CO2_COST,VOM_COST,STARTUP_NONFUEL_COST,STARTUP_FUEL_COST,STARTUP_CO2_COST,STARTUP_TOTAL_COST,START_INDICATOR
2022-03-21,1,45.04,7.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-03-21,2,43.63,7.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-21,3,43.43,7.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-21,4,43.42,7.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-21,5,46.3,7.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-21,6,55.5,7.05,2,57.0,5059.6933,1077.6774,285.0,7250.0,1551.0,330.3516,9131.3516,1
2022-03-21,7,76.7,7.05,5,610.0,29079.981,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-21,8,77.29,7.05,5,610.0,29079.981,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-21,9,51.19,7.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-21,10,46.89,7.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-21,11,43.54,7.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-21,12,37.18,7.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-21,13,33.14,7.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-21,14,30.5,7.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-21,15,31.5,7.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-21,16,34.42,7.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-21,17,38.33,7.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-21,18,45.69,7.05,2,57.0,5059.6933,1077.6774,285.0,7250.0,1551.0,330.3516,9131.3516,1
2022-03-21,19,71.59,7.05,5,610.0,29079.981,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-21,20,88.3,7.05,5,610.0,29079.981,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-21,21,80.5,7.05,5,610.0,29079.981,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-21,22,70.57,7.05,5,610.0,29079.981,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-21,23,59.17,7.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-21,24,54.37,7.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-22,1,49.28,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-22,2,46.85,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-22,3,44.46,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-22,4,44.41,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-03-22,5,46.87,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-22,6,54.51,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-22,7,68.77,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-03-22,8,67.76,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-03-22,9,48.33,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-22,10,40.56,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-22,11,36.67,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-22,12,33.52,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-22,13,32.6,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-22,14,30.64,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-22,15,36.3,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-22,16,40.84,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-03-22,17,44.72,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-22,18,53.64,6.99,2,57.0,5016.6321,1077.6774,285.0,7250.0,1537.8,330.3516,9118.1516,1
2022-03-22,19,90.35,6.99,5,610.0,28832.4918,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-22,20,108.08,6.99,5,610.0,28832.4918,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-22,21,86.76,6.99,5,610.0,28832.4918,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-22,22,70.59,6.99,5,610.0,28832.4918,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-22,23,58.44,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-22,24,54.46,6.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-23,1,49.65,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-23,2,46.22,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-23,3,44.73,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-23,4,44.56,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-23,5,45.55,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-23,6,55.24,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-23,7,69.83,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-03-23,8,65.45,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-03-23,9,45.76,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-23,10,44.16,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-23,11,40.47,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-23,12,34.49,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-23,13,30.66,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-23,14,31.39,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-23,15,36.21,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-23,16,35.83,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-23,17,37.04,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-03-23,18,51.02,6.8,2,57.0,4880.2716,1077.6774,285.0,7250.0,1496.0,330.3516,9076.3516,1
2022-03-23,19,79.64,6.8,5,610.0,28048.776,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-23,20,94.05,6.8,5,610.0,28048.776,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-23,21,71.0,6.8,5,610.0,28048.776,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-23,22,65.04,6.8,5,610.0,28048.776,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-23,23,58.22,6.8,5,610.0,28048.776,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-23,24,51.37,6.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,1,48.46,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,2,46.46,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,3,46.37,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,4,46.29,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,5,46.58,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,6,51.92,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,7,69.18,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,8,66.25,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-03-24,9,47.69,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,10,48.85,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,11,45.77,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,12,45.91,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,13,40.32,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,14,39.45,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,15,41.52,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,16,43.05,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-03-24,17,42.96,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,18,51.1,7.04,2,57.0,5052.5165,1077.6774,285.0,7250.0,1548.8,330.3516,9129.1516,1
2022-03-24,19,77.86,7.04,5,610.0,29038.7328,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-24,20,94.97,7.04,5,610.0,29038.7328,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-24,21,75.92,7.04,5,610.0,29038.7328,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-24,22,67.32,7.04,5,610.0,29038.7328,6193.8215,1220.0,0.0,0.0,0.0,0.0,0
2022-03-24,23,59.22,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-24,24,51.43,7.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-25,1,51.28,7.01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-25,2,49.46,7.01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-03-25,3,48.47,7.01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
